text,or_city,dst_city,str_date,end_date,budget
I am a world-renowned pastry chef and I need to travel to St. Petersburg - stat!,,St. Petersburg,,,
IM IN TIJUANA FIND ME A FLIGHT TO CURITIBA AUG 27 TO SEPT 4,TIJUANA,CURITIBA,AUG 27,SEPT 4,
Hi im from punta cana looking to go on a trip,punta cana,,,,
Where can this guy go for 2400??? I live in Mexico City. been dreaming of a trip to Milan,Mexico City,Milan,,,2400
Are there 5 star hotels in Kyoto?,,Kyoto,,,
Hello there I am looking for a travel package departing from Tofino on or after August 29. I would like to go to Calgary with a party of fourteen adults.,Tofino,Calgary,August 29,,
"Hi there! I'm about to jet out to my first ever internship
I need to make sure I get this booking exactly right
Can you get me to Rome?",,Rome,,,
"Hi, I'm looking for a vacation package to Chicago from Brasilia.",Brasilia,Chicago,,,
"yes im looking for mewtwo in Marseille ook? leaving from Fortaleza
with 2200 sept 11th",Fortaleza,Marseille,sept 11th,,2200
PLEASE GET ME ALL THE WAY TO CHICAGO,,CHICAGO,,,
I have a total of $4200 to go to Kingston from Seoul. What can you do for me?,Seoul,Kingston,,,$4200
Please find me a package for 22 adults from Kabul to Tofino,Kabul,Tofino,,,
Get me to Atlanta!,,Atlanta,,,
I wanna go on a vacation with my wife and 4 kids. our budget is 3300 and we want to travel between september 6th and 21st. We were looking at going to Denver from Dallas.,Dallas,Denver,september 6th,21st,3300
Hi I live in Kakariko Village and I want to go away! Where could I go?,Kakariko Village,,,,
"My secretary is on vacation so I have to book my own flights today. Definitely feels strange
Please book: San Diego to Rome",San Diego,Rome,,,
I need to go to beijing from Atlanta,Atlanta,beijing,,,
Baltimore to Sacramento,Baltimore,Sacramento,,,
"Hi there! My wife and I have 5 lovely children.
We are free to travel between August 31 and September 18.
We have a few destinations in mind, first one is Sacramento.
Oh, and we're located in Sendai.",Sendai,Sacramento,August 31,September 18,
"I am pondering a trip - not ready to book - just pondering. Tokyo is where I live, and I would like to see some places outside of Japan
Can you tell me what trips you have to Las Vegas, on a hypothetical 4200 budget",Tokyo,Las Vegas,,,4200
"ulsan to vitoria, 1 business class ticket",ulsan,vitoria,,,
"Hi. I'm just here at work.... stuck at the old computer desk
Stuck dreaming about a better place than this one
I have been wanting to get out of Santa Cruz for ages now
But I never have any vacation days..",Santa Cruz,,,,
I want to go to Washington. From Madrid,Madrid,Washington,,,
Hey. Looking to get the family out of Montreal for a bit,Montreal,,,,
"I need you to get me to Sendai from Washington, on the 30th of August",Washington,Sendai,30th of August,,
"I'd like to book a trip from London to somewhere, for August 17th to August 31st.",London,,August 17th,August 31st,
"Hey I need to get to San Juan to bring a recipe back to my hometown of Paris. It'll be me and my 4 kids, can you help me?",Paris,San Juan,,,
Get me out of LA asap!,LA,,,,
Please help! I need to get mommy and daddy out of town between Sep 2 and 19,,,Sep 2,19,
"Hey, I'm looking for a trip to Chicago.",,Chicago,,,
"Hellooooo. I’m looking to get out of Valencia and check out Hiroshima
Please let me know what is available between August 27 and September 14",Valencia,Hiroshima,August 27,September 14,
Seven grownups and 4 tots. We're heading from Cairo down to our ancestral hometown of Belem. Flexible with dates,Cairo,Belem,,,
"I would like you to find me, my wife, and my 4 children, a trip to Guadalajara from Seattle.",Seattle,Guadalajara,,,
please get me out to paris!,,paris,,,
Hi I only have 4000 dollars,,,,,4000
Can you get me and my family a vacation that departs from Jerusalem?,Jerusalem,,,,
"Let me tell you about the succulent oysters I had last time I was in Kingston..
I'm trying to get back there though, and to leave from Stuttgart
For 4300 dollars",Stuttgart,Kingston,,,4300
I would like to find a vacation between september 20th and October 4th from Sao Paulo to Leon,Sao Paulo,Leon,september 20th,October 4th,
I've got 2000 to get 6 adults and 9 children from Portland to Hamburg,Portland,Hamburg,,,2000
"Hi im from Barkcelona, looking for a trip!",Barkcelona,,,,
I'd like to go to Melbourne from Manaus,Manaus,Melbourne,,,
"can you get me a trip to pittsburgh, from barcelona? between sep 3 and 18",barcelona,pittsburgh,sep 3,18,
"rome to goiania and i will go from september eight until twenty five
and i have 4900 dollars in budget",rome,goiania,september eight,twenty five,4900
"Hi there! I only have 5 days of vacation, and I want to do the best I can with it! Can you recommend packages starting August 30th?",,,August 30th,,
Hey there! My girlfriends and I are looking to go on a girlie trip for Spring Break. but we want to go somewhere wild like San Juan! ,,San Juan,,,
We have decided to go visit my sister in Sao Paulo. What do you have out of Santa Cruz?,Santa Cruz,Sao Paulo,,,
"hey, i would like to find an affordable package to Hiroshima from Alexandria.",Alexandria,Hiroshima,,,
I want to got to Kochi,,Kochi,,,
I'm leading a tour group of four adults. We're trying to decide on a destination Can you tell me if I can get to Punta Cana for 3400. leaving from the Beijing,Beijing,Punta Cana,,,3400
"Got an internship with the UN, but they're such cheapskates they can't pay for my flights! I only have 3300
but I can choose from a number of their offices
oh yeah and the dates I need are between August 28 and September 11",,,August 28,September 11,3300
essen to osaka. sept 2-16,essen,osaka,sept 2,16,
"I have a vacation starting next week, I can hardly contain my excitement Getting out of St. Petersburg for 12 days will be dope. What kind of destinations do you offer?",St. Petersburg,,,,
"Hello there. I am the father of a group of 4 spoiled, privileged brats
I've decided to book them a trip to see how those in less fortunate parts of the world live
Give them some perspective, you know?
See if you can get me, my wife, and the four kids to Guadalajara, from Calgary",Calgary,Guadalajara,,,
"hello, I’m looking for an impressive package to Minneapolis
from Sao Paulo
for 6 adults",Sao Paulo,Minneapolis,,,
Do you do any flights out of Kabul? I work for an exciting startup based there...,Kabul,,,,
"Hi! I'm getting married and we are super tight on money but I want to be able to give my new bride the best possible honeymoon despite our tight budget, do you have any cool honeymoon destinations that you can recommend?",,,,,tight
"Hello. i want to go to buenos aires
i live in puebla",puebla,buenos aires,,,
"I wanna find a dope vacation package from Ulsan to Rio de Janeiro for under 6500 between August 27th and september 16, my dates are not flexible",Ulsan,Rio de Janeiro,August 27th,september 16,6500
"Hi there, my team and I are thinking of going to Monterrey please.",,Monterrey,,,
"Salvador to Recife, Sept 1 for 1, $1000 budget. I want the best hotel in Recife",Salvador,Recife,Sept 1,,$1000
I wanna go to Sao Paulo from Osaka for 6800,Osaka,Sao Paulo,,,6800
I need a vacation. A real vacation. My boss finally allowed me to take time off between September 8 and September 14. The heat in Valencia has been awful this summer.,Valencia,,September 8,September 14,
Yes! I'm booking for 20 of us! Heard Recife is a sweet destination,,Recife,,,
Hi looking to book a trip to SL,,SL,,,
"Hey, i Want to go to St. Louis on the 17th of August",,St. Louis,17th of August,,
