text,or_city,dst_city,str_date,end_date,budget
I am leaving from Marseille and want to bring my friends with me to Hamburg for my birthday bash,Marseille,Hamburg,,,
Hi! I'd like to go to Washington from Burlington,Burlington,Washington,,,
Hi there. Do you have flights out of Resife?,Resife,,,,
"Hey look, I got to get to Lima. I need to trap a pokemon ",,Lima,,,
I need 2 get 2 Madrid from Beijing! Family emergency. Need to leave on the 6th,Beijing,Madrid,6th,,
Tel Aviv - San Francisco please,Tel Aviv,San Francisco,,,
"From between Sept 6 and Sept 11, I’m on break. Leaving from Columbus",Columbus,,Sept 6,Sept 11,
"By chance, can I take my family from Recife to Rome? Thats me, my wife, and my son
We have $4700 to spend and ideally want to go for 12 days",Recife,Rome,,,$4700
"We are a large family wanting to travel together to Fortaleza, what can you do for us?",,Fortaleza,,,
i am travel from septeber 8 until 20. to berlin from santa cruz,berlin,santa cruz,septeber 8,20,
Hi. Well I’m trying to treat myself with a vacatoin. I’m thinking of going to Chicago. Leaving form Seattle,Seattle,Chicago,,,
"Hi there. San Antonio to Mexico City
no budget",San Antonio,Mexico City,,,
"hi there. i really wanna pretend im somewhere else
i dont have any time off and only 2900 dollars though",,,,,2900
"san antonio i live in. i go to anywehere
i spend 4 thousand dollars plus more 300 dollars",san antonio,,,,4 thousand dollars plus more 300 dollars
My name is Gary Peter and I'd like to book a trip to Diagon Alley from Godric's Hollow on August 13th.,Godric's Hollow,Diagon Alley,August 13th,,
"Book me Jerusalem to Salvador, between August 24 and August 27. 12 adults",Jerusalem,Salvador,August 24,August 27,
"Greetings m8! Im coming out of st. petersburg, but i need some time for my lonesome or at least imagine some, can you tell me about some packages to Kingston",st. petersburg,Kingston,,,
"Now hear this! I don't know where I want to go, but I want to leave from Cancun! ",Cancun,,,,
"Hi there. I need to go to Tel Aviv for a meeting
Are there any flights from Paris?",Paris,Tel Aviv,,,
Hi I need to go to Kabul on August 23rd,,Kabul,August 23rd,,
"Hi, this is quite urgent, my sister needs me to book a trip for her. She needs to go to Queenstown between september 9-24 leaving from Queenstown. What do you have?",Queenstown,Queenstown,september 9,24,
YOU FLY OUT OF BEIJING?,BEIJING,,,,
"Hi there. First off, do you do any flights departing JErusalem?",JErusalem,,,,
HOUSTON TO PUNTA CANA,HOUSTON,PUNTA CANA,,,
